,Batsmen,R,B,4s,6s,SR
0,Finn AllenFH Allen  b Josh Hazlewood,42,16,5,3,262.5
1,Devon ConwayDP Conway  NOT OUT,92,58,7,2,158.62
2,Kane WilliamsonKS Williamson  lbw Adam Zampa,23,23,1,1,100
3,Glenn PhillipsGD Phillips  c & b Josh Hazlewood,12,10,2,0,120
4,Jimmy NeeshamJDS Neesham  NOT OUT,26,13,0,2,200
5,Mark ChapmanMS Chapman,-,-,-,-,-
6,Mitch SantnerMJ Santner,-,-,-,-,-
7,Ish SodhiIS Sodhi,-,-,-,-,-
8,Tim SoutheeTG Southee,-,-,-,-,-
9,Lockie FergusonLH Ferguson,-,-,-,-,-
10,Trent BoultTA Boult,-,-,-,-,-
11,Extras (w 5),5,,,,
12,"Total (3 wickets, 20 overs)",200,,,,
13,David WarnerDA Warner  b Tim Southee,5,6,1,0,83.33
14,Aaron FinchAJ Finch  c Kane Williamson b Mitch Santner,13,11,1,1,118.18
15,Mitchell MarshMR Marsh  c Jimmy Neesham b Tim Southee,16,12,2,1,133.33
16,Glenn MaxwellGJ Maxwell  b Ish Sodhi,28,20,3,1,140
17,Marcus StoinisMP Stoinis  c Glenn Phillips b Mitch Santner,7,14,0,0,50
18,Tim DavidTH David  c Jimmy Neesham b Mitch Santner,11,8,0,1,137.5
19,Matthew WadeMS Wade  c Devon Conway b Lockie Ferguson,2,4,0,0,50
20,Pat CumminsPJ Cummins  c Devon Conway b Tim Southee,21,18,2,1,116.66
21,Mitchell StarcMA Starc  b Trent Boult,4,7,0,0,57.14
22,Adam ZampaA Zampa  b Trent Boult,0,2,0,0,0
23,Josh HazlewoodJR Hazlewood  NOT OUT,1,1,0,0,100
24,"Extras (w 2, lb 1)",3,,,,
25,"Total (all out, 17.1 overs)",111,,,,
26,Paul StirlingPR Stirling  c Bhanuka Rajapaksa b Dhananjaya de Silva,34,25,4,1,136
27,Andrew BalbirnieA Balbirnie  b Lahiru Kumara,1,5,0,0,20
28,Lorcan TuckerLJ Tucker  b Maheesh Theekshana,10,11,1,0,90.9
29,Harry TectorHT Tector  c Dasun Shanaka b Binura Fernando,45,42,2,1,107.14
