,Bowlers,O,M,R,W,Econ,Dots
0,Mitchell StarcMA Starc,4,0,36,0,9,5
1,Josh HazlewoodJR Hazlewood,4,0,41,2,10.25,8
2,Pat CumminsPJ Cummins,4,0,46,0,11.5,8
3,Marcus StoinisMP Stoinis,4,0,38,0,9.5,3
4,Adam ZampaA Zampa,4,0,39,1,9.75,4
5,Trent BoultTA Boult,4,0,24,2,6,13
6,Tim SoutheeTG Southee,2.1,0,6,3,2.76,10
7,Mitch SantnerMJ Santner,4,0,31,3,7.75,10
8,Lockie FergusonLH Ferguson,3,0,20,1,6.66,9
9,Ish SodhiIS Sodhi,4,0,29,1,7.25,8
10,Binura FernandoB Fernando,4,0,27,1,6.75,10
11,Lahiru KumaraCBRLS Kumara,2,0,12,1,6,6
12,Maheesh TheekshanaM Theekshana,4,0,19,2,4.75,8
13,Chamika KarunaratneC Karunaratne,4,0,29,1,7.25,7
14,Wanindu HasarangaW Hasaranga,4,0,25,2,6.25,6
15,Dhananjaya de SilvaDM de Silva,2,0,13,1,6.5,3
16,Joshua LittleJB Little,4,0,45,0,11.25,5
17,Mark AdairMR Adair,2,0,16,0,8,2
18,Barry McCarthyBJ McCarthy,2,0,16,0,8,4
19,Gareth DelanyGJ Delany,4,0,28,1,7,8
20,Curtis CampherC Campher,1,0,8,0,8,2
21,Simi SinghSimi Singh,2,0,20,0,10,3
22,Bhuvneshwar KumarB Kumar,4,0,22,1,5.5,17
23,Arshdeep SinghArshdeep Singh,4,0,32,3,8,10
24,Mohammed ShamiMohammed Shami,4,0,25,1,6.25,14
25,Hardik PandyaHH Pandya,4,0,30,3,7.5,10
26,Ravichandran AshwinR Ashwin,3,0,23,0,7.66,5
27,Axar PatelAR Patel,1,0,21,0,21,2
28,Shaheen Shah AfridiShaheen Shah Afridi,4,0,34,0,8.5,7
29,Naseem ShahNaseem Shah,4,0,23,1,5.75,10
30,Haris RaufHaris Rauf,4,0,36,2,9,11
