,Fall of Wickets
0,"1-56 (FH Allen, 4.1 ov) , 2-125 (KS Williamson, 12.6 ov) , 3-152 (GD Phillips, 15.6 ov)"
1,"1-5 (DA Warner, 1.1 ov) , 2-30 (AJ Finch, 3.6 ov) , 3-34 (MR Marsh, 4.5 ov) , 4-50 (MP Stoinis, 8.2 ov) , 5-68 (TH David, 10.2 ov) , 6-82 (MS Wade, 12.2 ov) , 7-89 (GJ Maxwell, 13.3 ov) , 8-109 (MA Starc, 16.1 ov) , 9-109 (A Zampa, 16.3 ov) , 10-111 (PJ Cummins, 17.1 ov)"
2,"1-2 (A Balbirnie, 1.1 ov) , 2-26 (LJ Tucker, 4.4 ov) , 3-55 (PR Stirling, 8.4 ov) , 4-60 (C Campher, 9.6 ov) , 5-107 (GH Dockrell, 16.5 ov) , 6-117 (HT Tector, 17.6 ov) , 7-117 (GJ Delany, 18.1 ov) , 8-118 (MR Adair, 18.4 ov)"
3,"1-63 (DM de Silva, 8.2 ov)"
4,"1-1 (Babar Azam, 1.1 ov) , 2-15 (Mohammad Rizwan, 3.6 ov) , 3-91 (Iftikhar Ahmed, 12.2 ov) , 4-96 (Shadab Khan, 13.2 ov) , 5-98 (Haider Ali, 13.6 ov) , 6-115 (Mohammad Nawaz, 15.5 ov) , 7-120 (Asif Ali, 16.4 ov) , 8-151 (Shaheen Shah Afridi, 19.2 ov)"
5,"1-7 (KL Rahul, 1.5 ov) , 2-10 (RG Sharma, 3.2 ov) , 3-26 (SK Yadav, 5.3 ov) , 4-31 (AR Patel, 6.1 ov) , 5-144 (HH Pandya, 19.1 ov) , 6-158 (KD Karthik, 19.5 ov)"
6,"1-43 (Soumya Sarkar, 5.1 ov) , 2-47 (Najmul Hossain Shanto, 6.1 ov) , 3-60 (Litton Das, 8.4 ov) , 4-63 (S Al Hasan, 9.1 ov) , 5-76 (Yasir Ali, 10.6 ov) , 6-120 (Nurul Hasan, 17.1 ov) , 7-129 (Afif Hossain, 17.6 ov) , 8-134 (Taskin Ahmed, 18.3 ov)"
7,"1-0 (Vikram Singh, 0.1 ov) , 2-0 (BFW de Leede, 0.2 ov) , 3-13 (MP O'Dowd, 3.2 ov) , 4-15 (TLW Cooper, 3.4 ov) , 5-59 (SA Edwards, 11.3 ov) , 6-66 (TJG Pringle, 12.4 ov) , 7-81 (L van Beek, 14.2 ov) , 8-96 (Shariz Ahmad, 16.2 ov) , 9-101 (CN Ackermann, 16.5 ov) , 10-135 (PA van Meekeren, 19.6 ov)"
8,"1-6 (CR Ervine, 1.6 ov) , 2-12 (RW Chakabva, 2.2 ov) , 3-12 (Sikandar Raza, 2.4 ov) , 4-19 (SC Williams, 3.4 ov) , 5-74 (M Shumba, 8.7 ov)"
9,"1-6 (Kusal Mendis, 1.5 ov) , 2-75 (DM de Silva, 11.3 ov) , 3-97 (P Nissanka, 13.3 ov) , 4-106 (PBB Rajapaksa, 14.5 ov) , 5-111 (MD Shanaka, 15.6 ov) , 6-120 (W Hasaranga, 17.3 ov)"
